Institution Name,Classification,Research Classification,Highest Level of Degree Available,Physics Program (Y/N),Astronomy Program (Y/N),Astronomy Faculty (Y/N),NOTES,Latitude,Longitude,Address,Zip Code
Angelo State University,HSI,,,Y,N,N,Planetarium; Dr. Kenneth Carrell,31.43783815,-100.4545073,"Angelo State University, 2601, West Avenue N, Santa Rita, San Angelo, Tom Green County, Texas, 76909, United States",76909
California Lutheran University,HSI,,,Y,N,Y,Dr. Mary Oksala,34.22655655,-118.8785217,"California Lutheran University, Mountain Breeze Way, Mountclef Village, Thousand Oaks, Ventura County, California, 91360, United States",91360
California State Polytechnic University,HSI,,,Y,Y,Y,Astronomy department,35.3074623,-120.6646483,"1 Grand Ave, San Luis Obispo, California, 93407, United States",93407
California State University Bakersfield,HSI,,,Y,N,N,No astronomy faculty,35.34926755,-119.1033258,"California State University Bakersfield, Student Way, Bakersfield, Kern County, California, 93311, United States",93311
California State University Channel Islands,HSI,,,Y,Y,Y,Astronomy minor,34.16726895,-119.045118,"California State University Channel Islands, 1, University Drive, Camarillo, Ventura County, California, 93012, United States",93012
California State University Chico,HSI,,,Y,N,N,Dr. Nicholas Nelson,39.72949775,-121.8481053,"California State University, Chico, 400, West 1st Street, Chico, Butte County, California, 95929, United States",95929
California State University Dominguez Hills,HSI,,,Y,N,N,Dr. Jim Hill,33.86261425,-118.2573742,"California State University - Dominguez Hills, 1000, East Victoria Street, Carson, Los Angeles County, California, 90747, United States",90747
California State University East Bay,HSI,,,Y,Y,Y,Astronomy minor,37.65552355,-122.0558772,"California State University - East Bay, 25800, Carlos Bee Boulevard, Hayward, Alameda County, California, 94542, United States",94542
California State University Fresno,HSI,,,Y,Y,Y,Astronomy minor and research,36.81387055,-119.7446221,"California State University, Fresno, 5241, North Maple Avenue, Fresno, Fresno County, California, 93740, United States",93740
California State University Fullerton,HSI,,,Y,Y,Y,"Astronomy research; Center for Gravitational-Wave Physics and Astronomy; Kwang-Ping Cheng, Jocelyn Read, Joshua Smith",33.8830939,-117.8852222,"California State University Fullerton, 800, North State College Boulevard, Fullerton, Anaheim, Fullerton, Orange County, California, 92831, United States",92831
California State University Long Beach,HSI,,,Y,Y,Y,Astronomy department,33.7817687,-118.1151997,"California State University, Long Beach, Flint Avenue, Long Beach, Los Angeles County, California, 90814, United States",90814
California State University Los Angeles,HSI,,,Y,Y,Y,Astronomy department,34.0664949,-118.1671415,"California State University Los Angeles, 5151, State University Drive, East Los Angeles, Los Angeles County, California, 90032, United States",90032
California State University Northridge,HSI,,,Y,Y,Y,Astronomy department,34.2455346,-118.526319,"California State University, Northridge, 18111, Nordhoff Street, Northridge, Los Angeles, Los Angeles County, California, 91330, United States",91325
California State University Sacramento,HSI,,,Y,Y,Y,Astronomy department,38.5599044,-121.4240819,"California State University - Sacramento, 6000, J Street, Sacramento, Sacramento County, California, 95819, United States",95819-6138
California State University San Bernardino,HSI,,,Y,N,Y,Astronomy courses,34.18191745,-117.3217439,"California State University, San Bernardino, 5500, University Parkway, University Village, San Bernardino, San Bernardino County, California, 92407, United States",92407
California State University San Marcos,HSI,,,Y,N,Y,Astronomy courses,33.1295667,-117.1606492,"California State University San Marcos, 333, South Twin Oaks Valley Road, San Marcos, San Diego County, California, 92096, United States",92096
California State University Stanislaus,HSI,,,Y,N,Y,Astronomy courses,37.5255729,-120.8557763,"California State University, Stanislaus, 1, University Circle, Turlock, Stanislaus County, California, 95382, United States",95382
College of Staten Island CUNY,HSI,,,Y,Y,Y,Astronomy department,40.6086562,-74.1538632,"Victory Boulevard & CUNY College Of Staten Island, Victory Boulevard, Bulls Head, Staten Island, City of New York, New York, 10314, United States",10314
CUNY City College,HSI,,,Y,N,N,Astronomy courses,40.60150585,-74.15012555,"160 Convent Ave, New York, New York, 10031, United States",10031
Hunter College,HSI,,,Y,Y,Y,Astronomy department,40.7683107,-73.96440596,"Hunter College, 695, Park Avenue, Manhattan Community Board 8, Lenox Hill, New York County, City of New York, New York, 10065, United States",10021
Lehman College,HSI,,,Y,Y,Y,Astronomy department,40.87447,-73.893158,"250 Bedford Park Blvd W, The Bronx, New York, 10468, United States",10468
CUNY Queens College,HSI,,,Y,N,N,Astronomy courses; Astronomy faculty; Dr. Matthew Civiletti,40.737004,-73.8251979,"Main Street & CUNY Queens College, Main Street, Queens, City of New York, New York, 11367, United States",11367
CUNY York College,HSI,,,Y,Y,Y,Astronomy minor,40.7017824,-73.7952695,"94-20 Guy R Brewer Blvd, Jamaica, New York, 11451, United States",11451
Florida Atlantic University,HSI,,,Y,N,Y,"Astronomy courses; Astronomy research; Observatory; Astronomy faculty, Dr. Eric Vandernoot",26.11940365,-80.14169191,"777 Glades Rd, Boca Raton, FL 33431",33431
Florida International University,HSI,,,Y,Y,Y,Astronomy department,25.7553898,-80.37628328,"Florida International University, 11200, Southwest 8th Street, Miami-Dade County, Florida, 33199, United States",33199
Houston Baptist University,HSI,,,Y,N,N,Astronomy courses,29.69442915,-95.5147559,"Houston Baptist University, Fondren Road, Houston, Harris County, Texas, 77085, United States",77085
Humboldt State University,HSI,,,Y,Y,Y,Astronomy program,40.87558755,-124.0779998,"Humboldt State University, 1, Harpst Street, Arcata, Humboldt County, California, 95521, United States",95521
