Institution Name,Classification,Research Classification,Highest Level of Degree Available,Physics Program (Y/N),Astronomy Program (Y/N),Astronomy Faculty (Y/N),Numerous Astronomy Faculty (Y/N),NOTES,Latitude,Longitude,Address,Zip Code
Agnes Scott College,BSI,,,Y,Y,Y,Y,Astronomy department,33.7688851,-84.2944452,"Agnes Scott College, Milton Candler Lane, Decatur, DeKalb County, Georgia, 30030, United States",30030
Air Force Institute of Technology-Graduate School of Engineering & Management,,R2,,Y,N,Y,N,Dr. William Wiesel,39.7819802,-84.08260145,,45431
Alabama A & M University,HBCU,M1,Doctorate,Y,N,N,N,Astrophysics research opportunities; Dr. Kenichi Nishikawa,34.7842987,-86.57013044,"Alabama A&M University, 4900, Meridian Street North, Normal, Huntsville, Madison County, Alabama, 35811, United States",35811
American University,,R2,,Y,N,Y,Y,"Gregory Harry, Silvina Guidoni, Jessica Uscinski, Philip Johnson",38.93804505,-77.08939224,,20016
Angelo State University,HSI,,,Y,N,N,N,Planetarium; Dr. Kenneth Carrell,31.43783815,-100.4545073,"Angelo State University, 2601, West Avenue N, Santa Rita, San Angelo, Tom Green County, Texas, 76909, United States",76909
Arizona State University-Downtown Phoenix,,R2,,N,N,N,N,No physics department,33.45297545,-112.072524,,85004
Arizona State University-Skysong,,R2,,N,N,N,N,No physics department,33.46368805,-111.9240547,,85257
Arkansas State University-Main Campus,,R2,,Y,N,N,N,No astronomy faculty,35.843356,-90.67439086,,72401
Armstrong State University,BSI,,,Y,Y,Y,Y,Astronomy department,31.97821865,-81.16273034,"Georgia Southern University Armstrong Campus, 11935, Abercorn Street, Savannah, Chatham County, Georgia, 31419, United States",31419
Azusa Pacific University,,R2,,Y,N,N,N,No astronomy faculty,34.1304082,-117.8875838,,91702
Ball State University,,R2,,Y,Y,Y,Y,"Astronomy department; John Millis, Robert Berrington",40.20979495,-85.41120952,,47303
Baylor University,,R2,,Y,Y,Y,Y,"Astronomy department; Lorin Swint Matthews, Gerald Cleaver, Barbara Endl",31.55043405,-97.11029056,,76706
Benedict College,HBCU,,Doctorate,Y,N,N,N,No astronomy faculty,34.01396275,-81.02097289,"Benedict College, 1600, Harden Street, Allen Benedict Court, Columbia, Richland County, South Carolina, 29204, United States",29204-1086
Boise State University,,R2,,Y,Y,Y,Y,"Astrophysics emphasis; Brian Jackson, Daryl Macomb, Heidi Wu",43.6041412,-116.2033059,,83735
Bowling Green State University-Main Campus,,R2,,Y,Y,Y,Y,Astronomy department; Andrew Layden,41.3811929,-83.62981099,,43403
Brigham Young University-Provo,,R2,,Y,Y,Y,Y,Astronomy department,40.25501105,-111.6496826,,84602
Cal Poly Pomona,HSI,,,Y,Y,Y,Y,Astronomy department,34.05604815,-117.8227822,"California State Polytechnic University, Pomona, 3801, Temple Avenue, Pomona, Los Angeles County, California, 91768, United States",91768
California Lutheran University,HSI,,,Y,N,Y,Y,Dr. Mary Oksala,34.22655655,-118.8785217,"California Lutheran University, Mountain Breeze Way, Mountclef Village, Thousand Oaks, Ventura County, California, 91360, United States",91360
California State Polytechnic University,HSI,,,Y,Y,Y,Y,Astronomy department,35.3074623,-120.6646483,"1 Grand Ave, San Luis Obispo, California, 93407, United States",93407
