Institution,Classification,Research Classification,Highest Level of Degree Available,Physics Program (Y/N),Astronomy Program (Y/N),Astronomy Faculty (Y/N),Numerous Astronomy Faculty (Y/N),NOTES,Latitude,Longitude,Address,Zip Code
Air Force Institute of Technology-Graduate School of Engineering & Management ,,R2,,Y,N,Y,N,Dr. William Wiesel,39.7819802,-84.08260145,,45431
American University ,,R2,,Y,N,Y,Y,"Gregory Harry, Silvina Guidoni, Jessica Uscinski, Philip Johnson",38.93804505,-77.08939224,,20016
Arizona State University-Downtown Phoenix ,,R2,,N,N,N,N,No physics department,33.45297545,-112.072524,,85004
Arizona State University-Skysong ,,R2,,N,N,N,N,No physics department,33.46368805,-111.9240547,,85257
Arkansas State University-Main Campus ,,R2,,Y,N,N,N,No astronomy faculty,35.843356,-90.67439086,,72401
Azusa Pacific University ,,R2,,Y,N,N,N,No astronomy faculty,34.1304082,-117.8875838,,91702
Ball State University ,,R2,,Y,Y,Y,Y,"Astronomy department; John Millis, Robert Berrington",40.20979495,-85.41120952,,47303
Baylor University ,,R2,,Y,Y,Y,Y,"Astronomy department; Lorin Swint Matthews, Gerald Cleaver, Barbara Endl",31.55043405,-97.11029056,,76706
Boise State University ,,R2,,Y,Y,Y,Y,"Astrophysics emphasis; Brian Jackson, Daryl Macomb, Heidi Wu",43.6041412,-116.2033059,,83735
Bowling Green State University-Main Campus ,,R2,,Y,Y,Y,Y,Astronomy department; Andrew Layden,41.3811929,-83.62981099,,43403
Brigham Young University-Provo ,,R2,,Y,Y,Y,Y,Astronomy department,40.25501105,-111.6496826,,84602
Catholic University of America ,,R2,,Y,Y,Y,Y,"Astrophysics institute; Duilia de Mello, Steve Kraemer, Bob Robinson, Vadim Uritsky, Tommy Wiklind",38.9391024,-76.99996417,,20064
Central Michigan University ,,R2,,Y,Y,Y,Y,Astronomy major; Christopher Tycner,43.58354995,-84.77464036,,48858
Chapman University ,,R2,,Y,N,Y,N,Roman Buniy,33.79338165,-117.8516896,,92866
Claremont Graduate University ,,R2,,N,N,N,N,No physics department,34.1103852,-117.7175884,,91711
Clark Atlanta University ,HBCU,R2,Doctorate,Y,N,N,N,No astronomy faculty,33.75012475,-84.41158897,,30314
Clark University ,,R2,,Y,N,N,N,No astronomy faculty,42.25146815,-71.82295086,,01610
Clarkson University ,,R2,,Y,N,Y,N,Josh Thomas,44.65958875,-75.00623975,,13676
Cleveland State University ,,R2,,Y,N,N,N,No astronomy faculty,41.50214445,-81.67516705,,44115
College of William and Mary ,,R2,,Y,N,N,N,No astronomy faculty,37.26908455,-76.72273167,,23185
Colorado School of Mines ,,R2,,Y,Y,Y,Y,Astronomy minor,39.7386338,-105.2246389,,80401
CUNY City College ,,R2,,Y,N,Y,N,Astronomy courses; Michio Kaku,40.60150585,-74.15012555,,10314
Delaware State University ,HBCU,R2,Doctorate,Y,N,N,N,No astronomy faculty,39.1867993,-75.54235828,,19901
DePaul University ,,R2,,Y,Y,Y,Y,"Astrophysics department; Jesus Pando, Anuj Sarma",41.92401995,-87.65472731,,60614
Duquesne University ,,R2,,Y,Y,Y,Y,Astronomy track; Simonetta Frittelli,40.43810165,-79.98966842,,15219
East Carolina University ,,R2,,Y,N,N ,N,No astronomy faculty,36.0781271,-79.77054699,,27411
East Tennessee State University ,,R2,,Y,Y,Y,Y,"Astronomy department; Mark Giroux, Gary Henson, Richard Ignace, Donald Luttermoser, Beverly Smith",36.3022214,-82.36945751,,37614
Eastern Michigan University ,,R2,,Y,Y,Y,Y,"Astronomy minor; Mark Fairclough, Tom Kasper, Norbert Vance",42.25224625,-83.62456152,,48197
Florida Agricultural and Mechanical University ,HBCU,R2,Doctorate,Y,N,N,N,Astronomy courses; no astronomy faculty,30.4227425,-84.28759934,,32307
Florida Atlantic University ,HSI,R2,,Y,N,Y,Y,"Astronomy courses; Astronomy research; Observatory; Astronomy faculty, Dr. Eric Vandernoot",26.11940365,-80.14169191,,33301
Florida Institute of Technology ,,R2,,Y,Y,Y,Y,"Astronomy Major; Daniel Batcheldor, Saida Caballero-Nieves, Samuel Durrance, David Harris, Manasvi Lingam, Jean Carlos Perez, Eric Perlman, etc.",28.0642296,-80.62300972,,32901
Fordham University ,,R2,,Y,N,Y,N,John Cunningham,40.86334655,-73.88589577,,"York,"
Gallaudet University ,,R2,,Y,N,N,N,No information,38.9083027,-76.99171057,,20002
Georgia Southern University ,BSI,R2,,Y,Y,Y,Y,Astronomy department,32.42143805,-81.78450529,,30458
Hampton University ,HBCU,R2,Doctorate,Y,Y,Y,Y,Astronomy department,37.0210096,-76.33862554,,23668
Howard University ,HBCU,R2,Doctorate,Y,Y,Y,Y,Astronomy department,38.9218972,-77.01959315,,20059
Idaho State University ,,R2,,Y,N,N,N,No astronomy faculty,42.859944,-112.4078309,,83209
Illinois Institute of Technology ,,R2,,Y,Y,Y,Y,Astronomy major,41.8352554,-87.62643622,,60616
Illinois State University ,,R2,,Y,N,Y,N,Matt Caplan ,40.51799375,-89.00846071,,61790
